275	1333	psbA	-
1939	3465	matK	-
4295	4331	trnK-UUU	-
5075	5287	rps16	-
7805	7877	trnQ-UUG	-
8237	8419	psbK	+
8820	8972	psbI	+
9111	9198	trnS-GCU	-
10850	10886	trnG-GCC	+
11024	11095	trnR-UCU	+
11244	12785	atpA	-
12863	13270	atpF	-
14114	14257	atpF	-
14754	14996	atpH	-
16164	16904	atpI	-
17191	17895	rps2	-
18190	22266	rpoC2	-
22459	24093	rpoC1	-
24791	25231	rpoC1	-
25261	28476	rpoB	-
29515	29595	trnC-GCA	+
30523	30615	petN	+
31972	32073	psbM	-
33140	33213	trnD-GUC	-
33616	33699	trnY-GUA	-
33754	33826	trnE-UUC	-
34597	34668	trnT-GGU	+
34603	34661	trnM-CAU	+
35775	36833	psbD	+
36745	38202	psbC	+
38353	38444	trnS-UGA	-
38786	38971	lhbA	+
39208	39278	trnG-UCC	+
39494	39567	trnfM-CAU	-
39736	40035	rps14	-
40188	42389	psaB	-
42418	44667	psaA	-
45300	45446	ycf3	-
46228	46455	ycf3	-
47189	47320	ycf3	-
47963	48049	trnS-GGA	+
48346	48948	rps4	-
49273	49345	trnT-UGU	-
50239	50275	trnL-UAA	+
50819	50868	trnL-UAA	+
51187	51259	trnF-GAA	+
51935	52411	ndhJ	-
52524	53375	ndhK	-
53258	53617	ndhC	-
55062	55098	trnV-UAC	-
55691	55728	trnV-UAC	-
55909	55980	trnM-CAU	+
55914	55972	trnT-GGU	+
56164	56565	atpE	-
56565	58058	atpB	-
58916	60367	rbcL	+
61121	62740	accD	+
63303	63410	psaI	+
63765	64316	ycf4	+
64969	65661	cemA	+
65886	66845	petA	+
67805	67924	psbJ	-
68053	68166	psbL	-
68192	68308	psbF	-
68322	68570	psbE	-
70027	70119	petL	+
70295	70405	petG	+
70558	70631	trnW-CCA	-
70796	70869	trnP-UGG	-
70798	70868	trnP-GGG	-
71236	71361	psaJ	+
71955	72152	rpl33	+
72324	72626	rps18	+
72897	73247	rpl20	-
73955	74068	rps12	-
74222	74470	clpP	-
75114	75404	clpP	-
76210	76278	clpP	-
76737	78254	psi_psbT	+
78433	78540	psbT	+
78611	78739	psbN	-
78842	79069	psbH	+
79997	80650	petB	+
81534	82085	petD	+
82286	83296	rpoA	-
83367	83780	rps11	-
83909	84019	rpl36	-
84135	84365	infA	-
84485	84880	rps8	-
85120	85485	rpl14	-
85618	86016	rpl16	-
87208	87858	rps3	-
87931	88311	rpl22	-
88568	88843	rps19	-
89013	89087	trnH-GUG	+
89134	89562	rpl2	-
90222	90608	rpl2	-
90636	90914	rpl23	-
91079	91152	trnI-CAU	-
91277	98182	ycf2	+
98300	98470	ycf15	+
98445	98531	ycf15	+
99230	99310	trnL-CAA	-
99881	100633	ndhB	-
101334	102110	ndhB	-
102418	102882	rps7	-
103494	103745	rps12_3end	-
103506	103745	rps12	-
105675	105746	trnV-GAC	+
105974	107464	rrn16	+
107769	107810	trnI-GAU	+
107980	108252	ycf68	+
108746	108780	trnI-GAU	+
108845	108882	trnA-UGC	+
109026	109142	orf42	-
109343	109507	orf56	-
109684	109718	trnA-UGC	+
109855	112662	rrn23	+
112768	112870	rrn4.5	+
113081	113201	rrn5	+
113482	113555	trnR-ACG	+
114134	114205	trnN-GUU	-
114546	120344	ycf1	+
120695	120997	rps15	+
121105	122283	ndhH	+
122288	122851	orf188	+
123417	125618	ndhF	-
126410	126580	rpl32	+
127406	127485	trnL-UAG	+
127584	128573	ccsA	+
128815	130317	ndhD	-
130443	130685	psaC	-
131358	131660	ndhE	-
131787	132314	ndhG	-
132714	133253	ndhI	-
133345	133881	ndhA	-
134966	135529	orf188	-
134978	135529	ndhA	-
135534	136712	ndhH	-
136820	137122	rps15	-
137473	143271	ycf1	-
143612	143683	trnN-GUU	+
144262	144335	trnR-ACG	-
144616	144736	rrn5	-
144947	145049	rrn4.5	-
145150	147957	rrn23	-
148099	148133	trnA-UGC	-
148310	148474	orf56	+
148675	148791	orf42	+
148935	148972	trnA-UGC	-
149037	149071	trnI-GAU	-
149565	149837	ycf68	-
150007	150048	trnI-GAU	-
150353	151843	rrn16	-
152071	152142	trnV-GAC	-
154072	154323	rps12_3end	+
154935	155399	rps7	+
155707	156483	ndhB	+
157184	157936	ndhB	+
158507	158587	trnL-CAA	+
159286	159372	ycf15	-
159347	159517	ycf15	-
159635	166540	ycf2	-
166665	166738	trnI-CAU	+
166903	167181	rpl23	+
167209	167595	rpl2	+
168255	168683	rpl2	+
168730	168804	trnH-GUG	-
